Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year to Date Tujuh Kota (y to D) (Persen),,,,,,,,,,,
,2022,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,0.45,0.71,1.4,2.49,2.84,3.43,4.07,4.01,5.27,5.16,5.26,6.04
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.53,0.66,1.64,2.34,2.89,3.66,4.23,3.76,4.99,5.09,5.3,5.82
Kota Sukabumi,0.59,0.7,1.37,2.16,2.41,3.01,3.45,3.42,4.79,4.75,4.93,5.45
Kota Bandung,0.46,0.6,1.44,2.58,2.96,3.72,4.35,4.1,5.05,5.17,5.3,7.45
Kota Cirebon,0.55,0.7,1.35,2.08,2.51,3,3.37,3.35,4.51,4.4,4.5,4.86
Kota Bekasi,0.39,0.7,1.08,2.06,2.35,2.85,3.49,3.62,5.05,4.85,4.89,5.37
Kota Depok,0.49,0.78,1.63,3.03,3.3,3.85,4.58,4.57,5.87,5.59,5.71,6.06
Kota Tasikmalaya,0.45,0.94,1.98,3.37,4.15,4.56,5.18,4.95,5.95,5.9,6.09,6.65
