Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year to Date Tujuh Kota (y to D) (Persen),,,,,,,,,,,
,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,0.47,0.83,0.64,1.04,1.16,1.32,1.54,1.49,1.6,1.73,2.09,2.48
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.61,0.98,1.13,1.45,1.68,1.86,2.1,2.02,2.18,0.12,3.13,3.36
Kota Sukabumi,0.38,0.69,0.84,1.32,1.52,1.68,1.92,1.91,2.14,0.05,2.52,2.72
Kota Bandung,0.38,0.64,-0.87,-0.55,-0.44,-0.3,-0.08,-0.1,0.02,0.08,0.31,0.63
Kota Cirebon,1.17,1.53,1.7,2.08,2.23,2.43,2.66,2.54,2.72,0.04,2.92,3.22
Kota Bekasi,0.41,0.8,0.93,1.5,1.57,1.8,2.01,1.94,2.02,0.14,2.58,3.14
Kota Depok,0.54,0.91,1.08,1.31,1.43,1.5,1.71,1.69,1.78,0.15,2.21,2.49
Kota Tasikmalaya,0.41,0.82,0.89,1.53,1.81,1.85,1.99,1.94,2.29,0.01,2.57,2.84
