id,hari,tanggal,bulan,tahun,judul,kota,deteksi_kendaraan,model_kendaraan,kondisi
6633175,Rabu,22,3,2023.0,Pria Jakbar Tewas Usai Jatuh dari Motor Akibat Diserempet Pemotor Tak Dikenal,Jakarta,"motor, kereta",,tewas
6632745,Rabu,22,3,2023.0,Korban Kecelakaan Truk Pasir di TTS Merupakan Pelayat,Kupang,truk,,tewas
6632714,Rabu,22,3,2023.0,Rem Blong Picu Kecelakaan Truk Pasir di TTS yang Tewaskan 4 Orang,Kupang,truk,,
6632658,Rabu,22,3,2023.0,"Kecelakaan Truk Pasir di TTS, 4 Tewas-30 Korban Luka",Kupang,truk,sedan,"tewas, selamat"
6632471,Rabu,22,3,2023.0,Pelajar di Bogor Tewas Ditabrak Mobil Saat Menyeberang Jalan,Bogor,bus,minibus,tewas
6632437,Rabu,22,3,2023.0,"Truk Boks Seruduk 4 Motor di Sumedang, Satu Orang Tewas",Sumedang,"motor, truk",tronton,"tewas, selamat"
6632432,Rabu,22,3,2023.0,Brukk! Palang KA di Jalan Pakis-Daleman Klaten Ditabrak Truk Molen,Klaten,"motor, truk, kereta",,
6632193,Rabu,22,3,2023.0,Truk Gandeng Muat Minuman Kemasan Terguling di Jalan Jogja-Solo,Klaten,"mobil, truk",,
6631962,Rabu,22,3,2023.0,Intip Pajak Fortuner yang 'Sundul' Polisi,Jakarta,"mobil, motor",,
6631242,Selasa,21,3,2023.0,Polisi Rekonstruksi TKP Kecelakaan Maut Syabda Perkasa di Tol Pemalang,Semarang,"mobil, truk",sedan,tewas
6631169,Selasa,21,3,2023.0,"Jelang Libur dan Cuti Bersama Nyepi, Antrean Kendaraan Mengular di GT Cikupa",Jakarta,"mobil, truk, kereta",kontainer,
6631011,Selasa,21,3,2023.0,Pak Ogah Tewas Tertabrak Truk di Simpang 4 Jetis Mojokerto,Mojokerto,"motor, truk",,tewas
6629990,Selasa,21,3,2023.0,"Truk Gandeng Nangkring di Tengah Pembatas Jalan Lamongan, Muatan Berceceran",Lamongan,"truk, kereta",sedan,tewas
6629930,Selasa,21,3,2023.0,Salah Kaprah Ngebut buat Usir Kantuk,Jakarta,"mobil, motor, truk",sedan,"tewas, selamat"
6629596,Senin,20,3,2023.0,"Tak Kuat Nanjak di Depan Cimory Semarang, Truk Jalan Mundur Kena Motor-Mobil",Semarang,"mobil, motor, truk",kontainer,tewas
