tweetid,link,source,retweet_count,tweet_type,user_id
1600740475463356416,https://twitter.com/gisel25517315/statuses/1600740475463356416,Twitter for Android,0,original,1596661256903045120
1600740464667537408,https://twitter.com/PendakiJakarta/statuses/1600740464667537408,Twitter for Android,4,retweet,2285118132
1600740463803174912,https://twitter.com/npmadlhninjaku/statuses/1600740463803174912,Twitter Web App,0,quote,1597813506849415168
1600740460196397056,https://twitter.com/Martina85591719/statuses/1600740460196397056,Twitter Web App,0,original,1591942357028466688
1600740454903222273,https://twitter.com/siomayback/statuses/1600740454903222273,Twitter Web App,25,retweet,1598246340815114241
1600740448997634051,https://twitter.com/okezonenews/statuses/1600740448997634051,Twitter Web App,0,original,47274731
1600740439476215808,https://twitter.com/siubicilembu/statuses/1600740439476215808,Twitter for iPhone,619,retweet,594425782
1600740439443001344,https://twitter.com/capebgttt/statuses/1600740439443001344,Twitter for Android,763,retweet,1181944805615554560
1600740402478579712,https://twitter.com/polsekprkda_smi/statuses/1600740402478579712,Twitter for Android,0,original,1587987596848029696
1600740393162723328,https://twitter.com/najwa6_trg/statuses/1600740393162723328,Twitter Web App,39,retweet,702254162
1600740391510081537,https://twitter.com/gisel25517315/statuses/1600740391510081537,Twitter for Android,0,original,1596661256903045120
1600740385642680321,https://twitter.com/jume1010/statuses/1600740385642680321,Twitter for Android,71,retweet,1560223437637156866
1600740374435069952,https://twitter.com/sinambela_elly/statuses/1600740374435069952,Twitter for Android,0,original,1514436694547714053
1600740362230063104,https://twitter.com/jhery_1/statuses/1600740362230063104,Twitter for Android,0,original,400777327
1600740342642667521,https://twitter.com/Lesli90692251/statuses/1600740342642667521,Twitter Web App,0,original,1591937208482729987
1600740341245935616,https://twitter.com/indahpgs/statuses/1600740341245935616,twittbot.net,0,original,2321790318
1600740334589267968,https://twitter.com/AziPragana/statuses/1600740334589267968,Twitter for Android,30,retweet,1589882880280256512
1600740320685494274,https://twitter.com/Irawanb17916312/statuses/1600740320685494274,Twitter Web App,6,retweet,1597942160644395009
1600740299751403521,https://twitter.com/teguhbiyanto/statuses/1600740299751403521,Twitter for Android,38,retweet,133137263
1600740298828566528,https://twitter.com/Toni20254798/statuses/1600740298828566528,Twitter Web App,0,original,1591936590472945664
1600740294735331329,https://twitter.com/senimankntmplr/statuses/1600740294735331329,Twitter for Android,1341,retweet,994140969078411264
1600740291559903232,https://twitter.com/Ummatan_Was_Ind/statuses/1600740291559903232,Twitter for Android,69,retweet,1466126761394065416
1600740278612430848,https://twitter.com/nasir1_trg/statuses/1600740278612430848,Twitter Web App,130,retweet,896544032
1600740270307389441,https://twitter.com/sayayangtauu/statuses/1600740270307389441,Twitter for Android,168,retweet,1313333334085267458
1600740261604511745,https://twitter.com/kompasiana/statuses/1600740261604511745,dlvr.it,0,original,23786106
1600740259825782784,https://twitter.com/Kosasih7Ujang/statuses/1600740259825782784,Twitter for iPhone,13,retweet,798766483228618752
1600740252507058177,https://twitter.com/s_cintanirmala/statuses/1600740252507058177,Twitter for iPhone,1,reply,1556242640320233472
1600740243799318529,https://twitter.com/phoenixonelove/statuses/1600740243799318529,Twitter for Android,0,original,1498294669154807810
1600740226926018560,https://twitter.com/sh8rne/statuses/1600740226926018560,Twitter for iPhone,619,retweet,2228180934
1600740222475829249,https://twitter.com/PemimpinNegeri/statuses/1600740222475829249,Twitter for iPhone,0,original,1597066568353316864
1600740219409825797,https://twitter.com/partnerinvain/statuses/1600740219409825797,Twitter for Android,0,reply,170244664
1600740217509400576,https://twitter.com/najwa6_trg/statuses/1600740217509400576,Twitter Web App,130,retweet,702254162
