Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year on Year Tujuh Kota (y on y) (Persen),,,,,,,,,,,
,2021,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,1.87,1.74,1.43,1.52,2.03,1.46,1.64,1.86,1.76,1.77,1.74,1.69
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,1.58,1.58,1.6,1.86,2.26,1.81,1.89,2.14,1.92,1.87,1.81,1.93
Kota Sukabumi,1.68,1.48,1.37,1.61,1.68,1.39,1.55,1.75,1.72,1.74,1.96,1.71
Kota Bandung,1.48,1.2,1.11,1.13,1.79,1.28,1.62,1.81,1.72,1.7,1.59,1.65
Kota Cirebon,1.14,1.04,0.82,1.13,1.56,0.93,1.07,1.39,1.59,1.66,1.75,1.81
Kota Bekasi,2.62,2.47,1.97,1.84,2.17,1.35,1.55,1.81,1.72,1.76,1.8,1.61
Kota Depok,1.31,1.26,0.95,1.26,2.09,1.69,1.83,1.96,1.88,1.88,1.84,1.81
Kota Tasikmalaya,1.69,1.39,1.01,1.26,1.34,1.14,1.09,1.38,1.18,1.07,0.97,1.17
