Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year on Year Tujuh Kota (y on y) (Persen),,,,,,,,,,,
,2022,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,1.98,2.05,2.74,3.61,3.57,4.41,4.94,4.73,6.12,5.93,5.75,6.04
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,2.28,2.17,3.1,3.56,3.71,4.66,5.16,4.6,5.94,5.96,5.89,5.82
Kota Sukabumi,2.05,2.09,2.58,3.07,3.23,3.95,4.3,4.29,5.79,5.7,5.28,5.45
Kota Bandung,2,2.06,2.76,3.72,3.68,4.55,4.98,4.63,5.73,5.79,5.77,7.45
Kota Cirebon,2.29,2.38,2.96,3.37,3.45,4.13,4.49,4.37,5.6,5.41,5.06,4.86
Kota Bekasi,1.81,1.89,2.38,3.23,3.27,4.12,4.57,4.43,6,5.75,5.46,5.37
Kota Depok,2.17,2.26,3.08,4.15,3.75,4.59,5.37,5.3,6.68,6.24,6.07,6.06
Kota Tasikmalaya,1.37,1.84,2.96,3.96,4.64,5.12,5.64,5.39,6.66,6.57,6.58,6.65
