Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year on Year Tujuh Kota (y on y) (Persen),,,,,,,,,,,
,2023,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,6.06,6.17,5.25,4.55,4.32,3.88,3.46,3.47,2.35,2.58,2.85,2.48
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,5.9,6.15,5.29,4.9,4.57,3.98,3.66,4.03,2.98,2.3,3.64,3.36
Kota Sukabumi,5.24,5.44,4.9,4.59,4.53,4.09,3.89,3.91,2.78,2.19,3.03,2.72
Kota Bandung,7.37,7.5,5,4.17,3.9,3.28,2.89,3.12,2.3,0.1,2.36,0.63
Kota Cirebon,5.5,5.72,5.22,4.85,4.57,4.27,4.13,4.04,3.07,2.76,3.27,3.22
Kota Bekasi,5.4,5.48,5.22,4.79,4.57,4.3,3.87,3.67,2.34,2.17,3.06,3.14
Kota Depok,6.11,6.2,5.48,4.29,4.14,3.66,3.15,3.13,1.96,1.94,2.54,2.49
Kota Tasikmalaya,6.61,6.53,5.51,4.75,4.25,3.87,3.41,3.59,2.96,2.3,3.11,2.84
