Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year on Year Tujuh Kota (y on y) (Persen),,,,,,,,,,,
,2024,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,3.02,3.09,3.48,3.07,2.78,2.38,2.25,2.39,2.09,1.92,1.67,1.64
Kab. Bandung,4.11,4.02,4.26,3.21,3.04,2.24,2.34,2.3,2.28,1.86,1.6,1.46
Kab. Majalengka,2.81,3.05,3.35,2.86,2.52,1.86,2.48,2.13,1.74,1.68,1.71,1.6
Kab. Subang,4.9,4.56,4.69,4.31,3.2,2.5,2.24,2.9,2.18,2.2,1.19,0.93
Kota Bogor,2.83,3.1,3.41,3.25,2.9,2.53,2.25,2.43,2.2,2.21,1.49,1.75
Kota Sukabumi,2.57,2.61,3.13,2.88,2.52,2.2,1.82,1.83,1.44,1.8,1.86,2.59
Kota Bandung,1.9,1.95,2.58,2.42,2.27,2.1,1.94,2.12,1.73,1.66,1.54,1.61
Kota Cirebon,1.97,2.19,2.7,2.57,1.97,1.43,1.01,1.18,0.83,0.88,0.85,1.1
Kota Bekasi,3.32,3.47,3.91,3.43,3.21,2.92,2.75,2.84,2.34,2.1,1.84,1.6
Kota Depok,2.34,2.36,2.73,2.72,2.43,2.22,1.92,2.24,2.11,1.94,1.9,1.95
Kota Tasikmalaya,2.14,2.6,3.13,2.71,2.17,2.07,1.93,2.03,1.79,1.71,1.68,1.94
