Wilayah Inflasi Jawa Barat,,,,,,,,,,,,
,Inflasi Year on Year Tujuh Kota (y on y) (Persen),,,,,,,,,,,
,2020,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Jawa Barat,3.4,3.72,3.95,3.77,2.93,2.75,2.21,1.71,1.77,1.86,1.99,2.18
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,3.76,4.31,4.25,3.8,3.56,2.74,2.48,1.59,1.82,1.86,2.02,2.18
Kota Sukabumi,2.68,3.01,3.28,3,2.34,2.02,1.71,1.25,1.38,1.39,1.52,1.84
Kota Bandung,2.79,3.37,3.52,3.31,2.5,2.6,1.89,1.27,1.45,1.64,1.76,1.75
Kota Cirebon,1.39,1.76,1.97,1.83,1.48,1.76,1.51,1.05,1.14,1.03,1.18,1.17
Kota Bekasi,3.6,3.79,4.17,4.28,3.26,3.45,2.79,2.42,2.34,2.36,2.43,2.81
Kota Depok,3.99,4.15,4.31,3.88,2.87,2.22,1.73,1.25,1.32,1.45,1.67,1.78
Kota Tasikmalaya,1.35,1.81,2.16,2.08,1.65,1.44,1.28,0.88,1.31,1.61,1.83,1.61
