Wilayah Inflasi Jawa Barat,,,,,,,,,,,,,
,Inflasi Bulanan Tujuh Kota (m to m) (Persen),,,,,,,,,,,,
,2024,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jawa Barat,0.15,0.45,0.51,0.15,-0.12,-0.04,0.06,0.07,-0.21,0.02,0.24,0.35,1.64
Kab. Bandung,0.06,0.31,0.39,0.11,-0.02,0.11,0.2,-0.13,-0.2,0.04,0.37,0.2,1.46
Kab. Majalengka,0.06,0.39,0.58,0.03,-0.49,0.12,0.15,0.17,-0.07,0.02,0.26,0.37,1.6
Kab. Subang,0.28,0.13,0.15,0.02,-0.52,-0.35,0.55,0.12,-0.38,0.12,0.27,0.54,0.93
Kota Bogor,0.06,0.6,0.45,0.1,-0.02,-0.11,-0.07,0.04,-0.14,0.08,0.26,0.49,1.75
Kota Sukabumi,0.47,0.36,0.63,0.17,-0.16,-0.16,-0.15,0.02,-0.19,0.4,0.34,0.84,2.59
Kota Bandung,0.1,0.38,0.55,0.13,-0.06,-0.03,0.01,0.13,-0.24,0.04,0.2,0.4,1.61
Kota Cirebon,0.04,0.55,0.65,0.16,-0.31,-0.34,-0.19,0.03,-0.15,0.07,0.18,0.43,1.1
Kota Bekasi,0.24,0.51,0.64,0.21,-0.08,0.02,0.04,-0.01,-0.38,-0.08,0.18,0.33,1.6
Kota Depok,0.2,0.56,0.51,0.2,-0.11,-0.11,-0.1,0.3,-0.01,0.06,0.2,0.24,1.95
Kota Tasikmalaya,0.1,0.71,0.64,0.18,-0.23,-0.04,0.02,0.07,-0.08,-0.07,0.18,0.43,1.94
