Wilayah Inflasi Jawa Barat,,,,,,,,,,,,,
,Inflasi Bulanan Tujuh Kota (m to m) (Persen),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jawa Barat,0.33,-0.05,0.1,0.41,0.85,0.48,0.39,0.39,-0.24,-0.07,0.22,0.35,3.21
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.39,-0.4,0.28,0.5,0.58,0.9,0.14,0.37,-0.48,0.16,0.24,0.3,3.02
Kota Sukabumi,0.32,-0.14,0.04,0.46,0.64,0.37,0.28,-0.04,-0.18,-0.04,0.28,0.33,2.33
Kota Bandung,0.09,-0.08,0.03,0.43,0.84,0.1,0.55,0.61,-0.28,-0.13,0.14,0.45,2.78
Kota Cirebon,0.2,-0.16,0.18,0.27,0.37,0.15,0.24,0.24,-0.24,0.03,0.26,0.44,2
Kota Bekasi,0.67,0.17,0.01,0.35,1.05,0.35,0.63,0.37,-0.06,-0.08,0.37,0.38,4.28
Kota Depok,0.2,-0.05,0.24,0.49,0.89,1.11,0.05,0.36,-0.25,-0.09,0.13,0.18,3.29
Kota Tasikmalaya,0.41,-0.11,0.03,0.21,0.7,0.28,0.19,0.04,-0.38,-0.07,0.07,0.33,1.72
