Judul,Tanggal,Penulis,Label,Kota,Content,Url
Taksi Biru Ringsek Ditabrak Mobil Lain di Tol JORR Fatmawati,"Minggu, 19 Maret 2023 - 07:10 WIB",Carlos Roy Fajarta,metro,JAKARTA,"JAKARTA - Sebuah taksi berwarna biru terlibat kecelakaan lalu lintas dengan minibus lain di Tol Jakarta Outer Ring Road ( JORR ) pada Minggu (19/3/2023) dini hari. Dalam kecelakaan ini, mobil taksi tersebut tampak ringsek.Dari informasi yang dikutip akun Twitter TMC Polda Metro Jaya, pukul pukul 05.20 WIB terlihat foto taksi biru itu mengalami ringsek pada bagian pintu belakang.  Baca Juga      Kecelakaan di Tol Wiyoto Wiyono, Sebuah Taksi Alami Kerusakan Cukup parah    Tampak pintu belakang terbuka dan terdapat koper dan tas yang ada di dalam bagian bagasi kendaraan tersebut. Body bemper belakang taksi tersebut tampak patah karena terlibat kecelakaan dengan kendaraan lain.""Kecelakaan melibatkan dua kendaraan di ruas Tol JORR Fatmawati mengarah Ciledug Mazda B-1281-CKT dengan Avanza B-1780-UUA, saat ini masih dalam penanganan petugas,"" tulis admin akun Twitter Polda Metro Jaya.  Baca Juga      1 Truk, 9 Taksi dan 1 Angkot Terlibat Kecelakaan di Jalan Dewi Sartika     Lihat Juga: Kecelakaan di Tol JORR KM 20.800, Bagian Depan Truk Ringsek (mhd)",https://metro.sindonews.com/read/1050563/170/taksi-biru-ringsek-ditabrak-mobil-lain-di-tol-jorr-fatmawati-1679184221
Tabrakan Beruntun 4 Mobil dan 1 Motor Gegerkan Warga Makassar,"Sabtu, 18 Maret 2023 - 08:04 WIB",Muhammad Nur Bone,daerah,MAKASSAR,"MAKASSAR - Tabrakan beruntun yang melibatkan empat mobil dan satu sepeda motor, menggegerkan warga Kota Makassar, Sulawesi Selatan. Tabrakan beruntun tersebut, terjadi di Jalan Andi Pangeran Pettrani, Kota Makassar, Sabtu (18/3/2023) dini hari.  Baca Juga      Viral! Mabuk Pulang Dugem, Anggota Polisi dan Wanita Seksi Kecelakaan di Suramadu    Dua korban tabrakan beruntun tersebut, terluka dan terpaksa harus dilarikan ke rumah sakit untuk mendapatkan perawatan medis. Dua korban luka merupakan pengendara motor, berstatus sebagai mahasiswi Universitas Negeri Makassar (UNM), yakni Arfiyanti, dan Chaeril.Peristiwa tabrakan beruntun ini, terjadi saat sebuah mobil honda bernomor polisi DD 1686 SE melaju kencang dari arah Jalan Andi Pangeran Pettarani, menuju jembatan layang Kota Makassar.  Baca Juga      Gempa Berkekuatan Magnitudo 5,2 Guncang Yogyakarta    Mobil sedan tersebut tiba-tiba melaju tak terkendali, dan menabrak sepeda motor yang ditumpangi dua korban, lalu menabrak tiga mobil taksi online. Usai menabrak sejumlah kendaraan, pengemudi mobil sedan tersebut justru kabur.Belum diketahui identitas pengemudi mobil sedan yang terlibat tabrakan beruntun tersebut. Mobil yang dikemudikannya, ditinggalkan begitu saja di lokasi tabrakan beruntun dalam kondisi rusak berat. Diketahui merupakan mobil tersebut, merupakan mobil sewaan.Petugas Satlantas Polrestabes Makassar, langsung melakukan evakuasi dan olah Tempat Kejadian Perkara (TKP) tabrakan beruntun. Polisi juga meminta keterangan saki mata, serta pemilik mobil yang terlibat tabrakan beruntun. Salah satu saksi mata tabrakan beruntun, Kevin mengatakan, dua korban yang mengalami luka-luka merupakan temannya yang baru pulang dari acara ulang tahun. ""Saat itu kami melaju pelan, tiba-tiba ditabrak mobil sedan. Mobil tersebut terus melaju, dan menabrak mobil-mobil lain,"" ungkapnya.  Baca Juga      Tertangkap Langgar Lalu Lintas, Bule Amerika Bentak Kasatlantas Polres Gianyar    Salah satu pemilik mobil yang menjadi korban tabrakan beruntun, Hasrul mengungkapkan, mobil yang ditabrak ada tiga. ""Mobil saya ditabrak dari belakang. Tabrakannya sangat keras, karena mobilnya melaju kencang. Usai tabrakan, pengemudi mobil sedan itu langsung kabur,"" pungkasnya.  Lihat Juga: Pedagang Pernak-Pernik Ramadhan di Medan Keluhkan Penjualan Turun Drastis (eyt)",https://daerah.sindonews.com/read/1049927/604/tabrakan-beruntun-4-mobil-dan-1-motor-gegerkan-warga-makassar-1679101400
2 Ekor Sapi yang Berkeliaran di Tol Bandara Sudah Diamankan,"Jum'at, 17 Maret 2023 - 12:03 WIB",Dimas Choirul,metro,JAKARTA,"JAKARTA - Polisi sudah mengamankan dua ekor sapi yang sempat berkeliaran di Tol Cengkareng arah Bandara Soekarno-Hatta. Kedua ekor sapi sebelumnya lepas dari truk pengangkut yang kecelakaan di Gerbang Tol Cengkareng 2, Kalideres, Jakarta Barat, Kamis (16/3/2023) malam.   Baca Juga      Kronologi Truk Muatan Hewan Terbalik di GT Cengkareng hingga 2 Sapi Berkeliaran    ""Dua sapi sempat lari ke arah bandara, alhamdulilah sudah diamankan. Yang satu diamankan di KM 31 tadi malam, dan satu sapi lagi barusan jam 09.00 WIB kita amankan di area Perimeter Selatan,"" ujar Kasat Lantas Polresta Bandara Soekarno-Hatta Kompol Bambang Askar Sodiq, saat dikonfirmasi, Jumat (17/3/2023).Polisi kini menunggu sang pemilik sapi di Pos Polres Bandara Soekarno-Hatta, guna pengambilan hewan ternak itu.Keberadaan sapi tersebut sempat menjadi perhatian pengendara sehingga memicu kemacetan. Agar tidak menjadi perhatian masyarakat yang dapat menyebabkan kemacetan, Bambang kemudian mengerahkan anggotanya untuk sigap mengatur lalu lintas. Alhasil, sapi berhasil dievakuasi dan lalu lintas di sekitar lokasi berjalan lancar.Sebelumnya, truk Fuso bermuatan sapi terbalik di Jalan Tol Sedyatmo, tepatnya di Gerbang Tol Cengkareng 2 wilayah Kalideres.  Baca Juga      Heboh! Sapi Lepas Mengamuk di Tol Balaraja Tangerang    Kasat Lantas Polres Metro Jakarta Barat Kompol Maulana Karipesina mengatakan, awalnya truk bernomor polisi B 9342 KQB itu melintas dari arah Timur menuju Barat sekitar pukul 19.30 WIB.""Setibanya di KM 31 dekat pintu Gerbang Tol Cengkareng 2, (sopir) tidak bisa mengendalikan laju kendaraannya karena mengalami rem blong dan terbalik ke kanan menabrak boiner gerbang tol,"" kata Maulana).Akibat insiden itu, boiner pintu gerbang mengalami kerusakan, dan pot bunga pecah. Sementara truk Fuso mengalami kerusakan pada bagian bodi depan serta samping hingga penyok.  Lihat Juga: Jasa Marga Optimis Jalan Tol Cengkareng-Batuceper-Kunciran Segera Beroperasi (thm)",https://metro.sindonews.com/read/1049197/170/2-ekor-sapi-yang-berkeliaran-di-tol-bandara-sudah-diamankan-1679025825
"Kecelakaan Lalu Lintas, Driver Ojol Tewas Tertancap Gagang Besi Gerobak Pemulung","Jum'at, 17 Maret 2023 - 00:02 WIB",Putra Ramadhani Astyawan,metro,BOGOR,"BOGOR - Seorang  driver ojek online  tewas setelah menabrak gerobak pemulung di Jalan KS Tubun,  Kota Bogor , Kamis (16/3/2023). Korban meninggal dunia dengan luka di kepala karena tertancap gagang besi gerobak tersebut. Salah satu saksi, Iwan mengatakan, kecelakaan yang terjadipada pukul 21.30 WIB itu berlangsung sangat cepat. Korban mengendarai sepeda motor dari arah Simpang Jambu Dua menuju Simpang Tol BORR.""Saya lagi tambal ban motor, tiba-tiba terdengar suara keras bruk gitu,"" kata Iwan kepada wartawan di lokasi.  Baca Juga      Viral! Driver Ojol Bawa Penumpang Hantu, Nekat Nagih Ongkos ke Kuburan Sambil Emosi    Iwan melihat seorang driver ojek online sudah terkapar dekat kios tambal ban miliknya. ""Kepalanya tertancap gagang besi gerobak pemulung yang ada di pinggir jalan,"" ujarnya.Petugas kepolisian yang datang ke lokasi kejadian harus memotong gagang besi gerobak untuk mengevakuasi korban. Selanjutnya jenazah korban dibawa ke rumah sakit (RS) terdekat. Saksi lainnya seorang pedagang angkringan menduga korban menghantam lubang di tengah Jalan KS Tubun. ""Mungkin kena lubang itu, terus oleng dan terpental ke sisi jalan,"" ucapnya. Kini kasus kecelakaan yang menewaskan driver ojol tersebut ditangani petugas Satlantas Polres Bogor.  Lihat Juga: Kronologis Driver Ojek Online Dikeroyok Pengendara Mobil di Kebayoran Lama Jaksel (hab)",https://metro.sindonews.com/read/1048877/170/kecelakaan-lalu-lintas-driver-ojol-tewas-tertancap-gagang-besi-gerobak-pemulung-1678982603
"Truk Muatan Hewan Ternak Terbalik di GT Cengkareng, 2 Sapi Berkeliaran di Jalan Tol","Kamis, 16 Maret 2023 - 23:00 WIB",Dimas Choirul,metro,JAKARTA,"JAKARTA -  Truk  muatan sapi terbalik di Gerbang Tol Cengkareng 2, Jakarta Barat pada Kamis (16/6/2023) malam. Akibatnya sejumlah  sapi  berkeliaran di ruas jalan tol hingga membuat kepadatan lalu lintas.""Hati-hati di Gerbang Tol Cengkareng 2 arah Bandara Soetta, ada penanganan kecelakaan kendaraan truk muatan sapi ternak terbalik miring di gardu kiri,"" tulis informasi akun Twitter @ptjasamarga dikutip MPI. Dalam video yang beredar, ada dua ekor sapi kabur melintasi jalan tol tersebut.  Baca Juga      Mahasiswa Buton Ditangkap Polisi karena Curi Puluhan Sapi untuk Kuliah dan Foya-foya    Akibatnya kecelakaan ini pun kepadatan lalu lintas terjadi di Tol Dalam Kota Simpang Pluit arah Jelambar. Selain itu, kepadatan lalu lintas terjadi dari arah Penjaringan Km 28 hingga Cengkareng Km 31. Saat ini sejumlah petugas di lokasi masih melakukan penanganan truk tersebut.  Lihat Juga: Inilah Cara Berbuka Puasa Sesuai Sunah Rasul (hab)",https://metro.sindonews.com/read/1048849/170/truk-muatan-hewan-ternak-terbalik-di-gt-cengkareng-2-sapi-berkeliaran-di-jalan-tol-1678979011
"Minibus Terbalik di Tepi Jalan Menurun, 2 Orang Terluka","Kamis, 16 Maret 2023 - 19:01 WIB",Wahyu Ruslan,daerah,MAROS,"MAROS - Kecelakaan lalu lintas, menggemparkan warga Kelurahan Batu Putih, Kecamatan Mallawa, Kabupaten Maros, Sulawesi Selatan. Sebuah minibus yang berpenumpang tujuh orang, tiba-tiba terbalik di tepi jalan menurun, hingga membuat dua penumpangnya terluka.  Baca Juga      Viral! Mabuk Pulang Dugem, Anggota Polisi dan Wanita Seksi Kecelakaan di Suramadu    Dua penumpang yang terluka, terpaksa harus dilarikan ke Puskesmas untuk mendapatkan perawatan medis. Sementara pengemudi minibus berhasil selamat, dan harus dirujuk ke rumah sakit mengalami luka-luka.Anggota Polsek Mallawa, yang tiba di lokasi langsung membantu para korban dan mengevakuasi barang bawaannya. Para penumpang, yang salah satunya bayi berusia satu tahun, mengalami syok berat usai kecelakaan lalu lintas tersebut.  Baca Juga      Korban Longsor Pulau Serasan Natuna Mulai Keluhkan Pasokan Logistik    Sopir dan seorang penumpang minibus terpaksa harus dirujuk ke RSUD Kota maros, karena mengalami luka parah akibat terjepit bodi mobil. Sementara itu petugas dibantu warga, mengevakuasi minibus yang terbalik dengan cara mendorong minibus tersebut ke atas truk derek untuk dibawa ke kantor Satlantas Polres Maros.Kanit Lakalantas, Satlantas Polres Maros, Iptu Syamsir mengatakan, dari keterangan saksi minibus yang dikemudikan oleh Arbab tersebut, melaju kencang dari arah Kota Maros, menuju Kabupaten Bone. ""Saat tiba di lokasi, diduga sopir tidak dapat menguasai laju kendaraannya saat berada di jalan menurun, hingga terbalik di saluran air pinggir jalan,"" ungkapnya.  Baca Juga      5 Gadis Bitung Ditangkap Polisi Gara-gara Pamer Bawa Senjata Tajam di Medsos    Akibat kecelakaan lalu lintas tersebut, minibus mengalami ringsek di bagian depan beserta kaca depan pecah. Kasus kecelakaan lalu lintas tersebut, masih ditangani Satlantas Polres Maros.  Lihat Juga: Hindari Barikade Penyekatan PPKM, Mobil Lexus Tabrak Pembatas Jalur Sepeda di Sudirman (eyt)",https://daerah.sindonews.com/read/1048631/604/minibus-terbalik-di-tepi-jalan-menurun-2-orang-terluka-1678968220
"Viral! Mabuk Pulang Dugem, Anggota Polisi dan Wanita Seksi Kecelakaan di Suramadu","Kamis, 16 Maret 2023 - 17:33 WIB",Taufik Syahrawi,daerah,BANGKALAN,"BANGKALAN - Video kecelakaan lalu lintas di Jalan Mohammad Noer, Desa Sendang Dajah, Kecamatan Labang, Kabupaten Bangkalan, viral di media sosial. Sebuah mobil menabrak truk yang sedang parkir di jalur akses Jembatan Suramadu.  Baca Juga      Memilukan! Siswi SMA di Pematang Siantar Tewas Dilindas Bus    Mobil tersebut berpenumpang empat orang, dan diduga seluruhnya dalam kondisi mabuk berat usai dugem di sebuah tempat hiburan malam di Kota Surabaya. Salah satu penumpang diketahui merupakan anggota polisi, dan sisanya merupakan wanita-wanita berpakaian seksi.Para korban mengalami luka berat dan patah tulang, sehingga langsung dievakuasi ke RSUD Bangkalan. Kecelakaan lalu lintas tersebut terjadi pada Kamis (16/3/2023) dini hari. Mobil bernomor polisi T 1322 GJ yang ditumpangi para korban ringsek parah, usai menabrak truk parkir.  Baca Juga      Korban Longsor Pulau Serasan Natuna Mulai Keluhkan Pasokan Logistik    Para penumpang mobil tersebut, diketahui warga Kabupaten Pamekasan. Yakni inisial RM anggota Polres Pamekasan, pengemudi mobil berinisial MWF, serta AK, dan seorang wanita berpakaian sangat seksi berinisial DN.DN menderita luka-luka, dan mengalami patah tulang kaki kanan dan kiri. Dia juga terlihat sangat histeris, saat dievakuasi oleh warga dari dalam mobil. Kanit Laka Satlantas Polres Bangkalan, Iptu Sys Eko Purnomo mengatakan, dari hasil olah TKP dan keterangan saksi, mobil tersebut melaju kencang dari arah Surabaya.  Baca Juga      Mantan Kabagops Polres Malang, Terdakwa Tragedi Kanjuruhan Divonis Bebas    ""Mobil melaju dari arah Surabaya, saat tiba di TKP mobil tiba-tiba oleng ke kiri dan menghantam sebuah truk yang sedang parkir di bahu jalan. Kami masih melakukan pendalaman terhadap kasus ini, untuk mengetahui penyebab mobil oleng ke kiri,"" tuturnya.Dari video yang beredar, para penumpang mobil yang mengalami kecelakaan lalu lintas tersebut, baru saja menghabiskan malam dengan dugem di sebuah tempat hiburan malam di Kota Surabaya. Bahkan dalam rekaman itu, terlihat DN menyawer seorang DJ di tempat hiburan malam tersebut.  Lihat Juga: Buka Puasa Tidak Bikin Ngantuk saat Tarawih, Ini Caranya (eyt)",https://daerah.sindonews.com/read/1048549/704/viral-mabuk-pulang-dugem-anggota-polisi-dan-wanita-seksi-kecelakaan-di-suramadu-1678961028
"Mobil Pengangkut Sayur Terguling di Tol Tangerang-Jakarta, Lalin Tersendat","Kamis, 16 Maret 2023 - 09:06 WIB",Irfan Maulana,metro,JAKARTA,"JAKARTA - Mobil pickup bermuatan sayur terguling di Tol Tangerang-Jakarta KM 23 A pada Kamis (16/3/2023) pukul 07.15 WIB. Tak ada korban jiwa dalam kejadian ini, namun kenek mengalami luka dan langsung dilarikan ke rumah sakit.Kepala Induk PJR Bitung, AKP Suwito mengatakan peristiwa ini bermula ketika mobil bernomor polisi A 8121 ZC yang dikemudikan Suhendar melintas dari arah Jakarta menuju Bitung Tangerang. Tiba-tiba ban mobil pecah hilang kendalidan terguling.”Kendaraan Pickup muatan sayur datang dari arah Jakarta menuju Bitung setiba di TKP menurut keterangan pengemudi, ban belakang kiri mengalami pecah,” kata Suwito dalam keterangannya, Kamis (16/3/2023).  Baca Juga      Sopir Mengantuk, Mobil Terguling di Tol Jagorawi    Kemudian kendaraan oleng ke kanan dan terbalik miring, posisi akhir kendaraan di antara lajur 3 dan 4 terbalik miring menghadap selatan. Dalam kejadian ini, Suhendar selamat. Namun, keneknya Nahrowi harus dilarikan ke rumah sakit.”Korban Nahrowi mengalami luka ringan dirawat di RS Hermina Bitung,” katanya.Sementara, mobil yang mengalami ringsek pun langsung di derek. Arus lalu lintas saat kecelakaan terjadi tak mengalami macet parah dan langsung ditangani petugas. Hanya saja imbas kecelakaan membuat arus lalu lintas tersendat.  Lihat Juga: Diduga Pecah Ban, Mobil Pikap Terguling di Tol Tangerang (ams)",https://metro.sindonews.com/read/1048073/170/mobil-pengangkut-sayur-terguling-di-tol-tangerang-jakarta-lalin-tersendat-1678928610
"Kecelakaan di Serpong Tangsel, Motor Vs Innova","Kamis, 16 Maret 2023 - 00:40 WIB",Hambali,metro,TANGERANG SELATAN,"TANGERANG SELATAN - Kecelakaan lalu lintas terjadi di Jalan Lengkong Gudang Timur IV, Serpong,  Tangerang Selatan  (Tangsel), Rabu (15/3/2023). Seorang wanita pengendara sepeda motor Honda Vario jatuh terkapar setelah bertabrakan dengan mobil Toyota Innova.Peristiwa tersebut terjadi sekitar pukul 17.00 WIB. Mobil Innova yang dikemudikan SR tengah melaju dari arah Lengkong Gudang Timur menuju Nusa Loka. Saat melintasi Lengkong Gudang Timur IV, mobil hendak berbelok ke kanan di depan pendopo. ""Diduga ketika hendak berbelok kanan, dari arah berlawanan datang kendaraan sepeda motor Honda Vario yang dikendarai Saudari BS, sehingga terjadi kecelakaan lalu lintas,"" kata Kanit Lakalantas Polres Tangsel Ipda Yunus Kaurmin.  Baca Juga      Wanita Pengendara Honda Scoopy Tewas di Kota Tua, Polisi Selidiki    Pengendara Vario itu langsung terjatuh. Kejadian itu juga sempat diunggah ke media sosial. Nampak dalam video, korban dalam kondisi telungkup, terkapar tak bergerak. Tak terlihat korban mengenakan helm. ""Pengendara sepeda motor mengalami luka-luka,"" ujar Yunus.Sebagian netizen mengomentari unggahan video itu. Ada yang mengira korban meninggal dunia, namun ada pula yang mempertanyakan kondisi korban. Yunus memastikan, bahwa korban hanya mengalami luka-luka. ""Pengendara sepeda motor tidak meninggal. Hanya luka memar pada wajah dan lecet pada tangan dan kaki kanan, lalu dilarikan ke Rumah Sakit Medika BSD,"" pungkasnya.  Lihat Juga: Kecelakaan di Serpong Tangsel, Motor Vs Innova (rca)",https://metro.sindonews.com/read/1047917/170/kecelakaan-di-serpong-tangsel-motor-vs-innova-1678899783
"Hindari Truk Berhenti, Pengendara Motor Tewas di Tangerang","Kamis, 16 Maret 2023 - 00:25 WIB",Isty Maulidya,metro,TANGERANG,"TANGERANG - Kecelakaan lalu lintas terjadi di KM 7,5 Jalan Raya Gatot Subroto,  Kota Tangerang , Rabu (15/3/2023). Seorang pengendara motor berinisial S  tewas  di lokasi karena diduga tidak dapat mengendalikan laju kendaraannya di jalan yang basah.Kasat Lantas Polres Metro Tangerang Kota Kompol Joko Sembodo mengungkapkan, awalnya S melaju bersama korban M dari arah Bitung menuju Tangerang. Saat berada di KM 7,5, S berpindah jalur karena menghindari sebuah truk yang tengah berhenti.""Pada saat berpindah lajur dari kiri ke kanan untuk menghindari truk trailer yang berhenti di kiri jalan, sepeda motor korban hilang kendali dan terjatuh ke kanan,"" kata Joko Sembodo.  Baca Juga      Wanita Pengendara Honda Scoopy Tewas di Kota Tua, Polisi Selidiki    Kemudian, sepeda motor yang dikendarai S masuk ke kolong truk lain yang sedang melaju di jalur kanan. Lalu, S dan M juga ikut terseret ke kolong truk, dan menyebabkan satu orang meninggal dunia.""Sehingga terjadilah kecelakaan lalu lintas yang berakibat korban S meninggal dunia, dan korban M yang dibonceng mengalami luka parah,"" ujarnya.Arus lalu lintas di lokasi kejadian sempat macet. Saat ini, arus lalu lintas sudah kembali normal.  Lihat Juga: Laka Maut Cimenyan, Polresta Bandung Imbau Masyarakat Waspada (rca)",https://metro.sindonews.com/read/1047899/170/hindari-truk-berhenti-pengendara-motor-tewas-di-tangerang-1678896223
"Wanita Pengendara Honda Scoopy Tewas di Kota Tua, Polisi Selidiki","Rabu, 15 Maret 2023 - 22:44 WIB",Muhammad Refi Sandi,metro,JAKARTA,"JAKARTA - Seorang wanita pengendara  Honda  Scoopy bernomor polisi B 4994 UAZ berinisial DP (20) tewas di Kawasan  Kota Tua , Taman Sari, Jakarta Barat, Rabu (15/3/2023). DP terlindas bus setelah hilang kendali menghindari jalan berlubang.Kanit Laka Lantas Polres Metro Jakarta Barat AKP Agus Suwito membenarkan DP hilang kendali setelah menghindari lubang. ""Iya (hilang kendali karena menghindari lubang, red),"" kata Agus saat dikonfirmasi.Dia menjelaskan, kecelakaan lalu lintas itu terjadi sekitar pukul 17.30 WIB. Dia menuturkan, DP melaju dari arah barat ke timur di Jalan Kunir, Taman Sari atau tepatnya Hotel 1001.  Baca Juga      Gagal Nyalip Truk, Pemotor Tewas Terlindas di Cileungsi Bogor    Korban hilang kendali menghindari lubang. Namun, nahas ada bus bernomor polisi B 7012 PGA dan kepala DP terlindas. Agus mengungkapkan DP meninggal dunia di tempat kejadian perkara.""Pada saat kendaraan Honda B 4994 UAZ dikendarai DP melaju dari arah barat menuju timur di Jalan Kunir wilayah Tamansari tepatnya dekat Hotel 1001 tidak bisa mengendalikan laju sepeda motor kemudian oleng (menghindari lubang) kemudian pengendara sepeda motor jatuh ke samping dan kepalanya terlindas ban belakang sebelah kiri kendaraan bus B 7012 PGA melaju searah di samping kanannya, berakibat kerusakan pada kendaraan yang terlibat,"" tuturnya.""Korban pengendara sepeda motor Honda B 4994 UAZ Saudari DP mengalami luka di bagian kepala yang berakibat meninggal dunia di TKP, jenazah dievakuasi ke RS.Tangerang,"" tuturnya.Pihaknya masih menyelidiki penyebab terjadinya kecelakaan tersebut. ""Masih dalam proses penyelidikan,"" pungkasnya.  Lihat Juga: Permintaan Cincau Meningkat Selama Ramadan (rca)",https://metro.sindonews.com/read/1047867/170/wanita-pengendara-honda-scoopy-tewas-di-kota-tua-polisi-selidiki-1678892585
Memilukan! Siswi SMA di Pematang Siantar Tewas Dilindas Bus,"Rabu, 15 Maret 2023 - 17:20 WIB",Dharma Setiawan,daerah,PEMATANG SIANTAR,"PEMATANG SIANTAR - Kecelakaan lalu lintas, menghebohkan warga Kota Pematang Siantar, Sumatera Utara. Seorang siswi SMA Negeri 5 Kota Pematang Siantar, tewas dalam kecelakaan lalu lintas tersebut, karena terlindas bus.  Baca Juga      5 Tewas Akibat Bus Tabrak 2 Truk di Rembang, Sopir Jadi Tersangka    Korban tewas dalam kecelakaan lalu lintas tersebut, diketahui bernama Dwi Cindy, pelajar kelas XII SMA Negeri 5 Kota Pematang Siantar. Tubuh korban ditemukan berada di bawah kolong bus, dalam kondisi sudah tidak bernyawa. Kecelakaan lalu lintas tersebut, terjadi di jalur utama penghubung Kota Medan, dengan Kota Pematang Siantar, atau berjarak sekitar 300 meter dari sekolah korban. Bus yang melindas korban, merupakan bus jurusan Medan-Pematang Siantar.  Baca Juga      Aksi Polwan Cantik Pulihkan Trauma Anak-anak Korban Longsor Pulau Serasan Natuna    Dari keterangan saksi mata kecelakaan lalu lintas, Rendi, sebelum mengalami kecelakaan lalu lintas, korban bersama temannya berboncengan menggunakan motor matic. ""Mereka bebroncengan saat pulang sekolah,"" tuturnya.Diduga sebelum terjadi kecelakaan lalu lintas tersebut, motor yang dikendarai korban dan temannya bersenggolan dengan kendaraan lain. Korban yang duduk di belakang, tiba-tiba terjatuh usai bersenggolan, lalu tubuhnya terlindas bus yang melaju di belakang motor korban.  Baca Juga      Sepanjang 6 Jam, Gempa Tremor Masih Terjadi di Gunung Karangetang    Sedangkan teman korban yang mengemudikan motor selamat, dan hanya mengalami luka ringan akibat terjatuh ke aspal saat motor yang dikemudikannya bersenggolan dengan mobil. Akibat kecelakaan lalu lintas ini, jalur lalu lintas sempat mengalami kemacetan parah karena polisi melaklukan olah TKP, dan mengevakuasi korban.  Lihat Juga: Sepeda Motor Berhenti saat Lampu Merah Malah Ditabrak Mobil, 1 Tewas (eyt)",https://daerah.sindonews.com/read/1047597/717/memilukan-siswi-sma-di-pematang-siantar-tewas-dilindas-bus-1678874620
"Mobil Dinas TNI Tabrak Pengendara Lain di Pancoran, Begini Respons Pangdam Jaya","Selasa, 14 Maret 2023 - 17:09 WIB",Riyan Rizki Roshali,metro,JAKARTA,"JAKARTA - Mobil Dinas TNI AD terlibat kecelakaan lalu lintas di Flyover Pancoran, Jakarta Selatan. Peristiwa ini ramai di media sosial setelah akun Twitter @delimalma mengunggahnya.Kejadian itu terjadi pada Minggu 12 Maret 2023 sekitar pukul 14.30 WIB. Korban yakni pemilik mobil HR-V menyebutkan, kejadian bermula ketika mobil yang dikendarainya harus berhenti dikarenakan mobil di depannya berhenti mendadak. Ia pun mengaku ikut mengerem, kemudian ditabrak dari belakang oleh mobil lain.  Baca Juga      Mobil Dinas TNI dan Mobil Kedubes AS Terlibat Kecelakaan di Semanggi    “Kronologi: Mobil sedan depan gue mendadak ngerem dan berhenti gara-gara ada lubang gede, ya gue sebagai mobil di belakangnya ngerem mendadak juga dong,” kata akun tersebut dilihat MPI, Selasa (14/3/2023).“Ehhh mobil dinas di belakang gue enggak sigap, apa emang lagi meleng, nabrak mobil gue deh,” ujarnya.Akibat adanya kejadian ini, pengemudi yang ditabrak mobil dinas TNI sempat kesal dikarenakan tidak mendapatkan ganti rugi yang sesuai. “Mobil gue ringsek gitu cuma dihargain Rp1 juta ama ni oknum keren banget deh. Jujur gue udah kesel banget, udah sok-sokan bawa mobil dinas, tahunya zonk banget enggak mampu ganti,” tuturnya.Pangdam Jaya Mayjen TNI Untung Budiharto mengaku sudah mendapatkan informasi terkait peristiwa tersebut. Dia pun mengerahkan anggotanya untuk menyelesaikan permasalahan ini. “Saya mendapat laporan ada anggota saya yang tabrakan dengan pengguna mobil,” kata Untung.Dia pun mengatakan sudah memerintahkan jajarannya untuk menyelesaikan permasalahan tersebut dengan baik.  Baca Juga      Puspomad Limpahkan Kasus Warga Sipil Pakai Mobil Dinas TNI ke Polda Metro    “Sudah saya perintahkan staf saya untuk menyelesaikan masalah tersebut, membantu personel tersebut. Semoga bisa terselesaikan dengan baik,” jelas dia.  Lihat Juga: Permintaan Cincau Meningkat Selama Ramadan (mhd)",https://metro.sindonews.com/read/1046589/170/mobil-dinas-tni-tabrak-pengendara-lain-di-pancoran-begini-respons-pangdam-jaya-1678788232
