Wilayah Inflasi Jawa Barat,,,,,,,,,,,,,
,Inflasi Bulanan Tujuh Kota (m to m) (Persen),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Jawa Barat,0.45,0.26,0.69,1.07,0.34,0.57,0.62,-0.06,1.21,-0.11,0.1,0.74,6.04
Kab. Bandung,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Majalengka,-,-,-,-,-,-,-,-,-,-,-,-,-
Kab. Subang,-,-,-,-,-,-,-,-,-,-,-,-,-
Kota Bogor,0.53,0.13,0.97,0.68,0.55,0.75,0.55,-0.45,1.18,0.1,0.2,0.49,5.82
Kota Sukabumi,0.59,0.11,0.67,0.78,0.25,0.58,0.43,-0.04,1.33,-0.04,0.18,0.5,5.45
Kota Bandung,0.46,0.14,0.84,1.12,0.37,0.74,0.6,-0.24,0.91,0.12,0.12,2.04,7.45
Kota Cirebon,0.55,0.15,0.64,0.72,0.42,0.48,0.36,-0.03,1.12,-0.1,0.09,0.35,4.86
Kota Bekasi,0.39,0.31,0.38,0.96,0.29,0.49,0.62,0.12,1.38,-0.19,0.04,0.46,5.37
Kota Depok,0.49,0.28,0.85,1.37,0.26,0.53,0.71,-0.01,1.24,-0.26,0.11,0.32,6.06
Kota Tasikmalaya,0.45,0.48,1.04,1.36,0.76,0.41,0.57,-0.22,0.95,-0.05,0.18,0.53,6.65
